lat（纬度）,lng,location,publish_time_,content,label
23.10474293,113.2619297,广州市红十字会医院,01/04/2022 0:00,三月图鉴希望四月不要以溶血黄仔换血开启（坐等肝功结果回报),neutral
23.07191467,113.4169922,長洲島,01/04/2022 0:01,做喜欢的事买喜欢的东西痘痘女孩,sad
23.1226,113.34398,富力・公园28,01/04/2022 0:02,弱肉强食不止是动物界，人类也一样。容不得半点玻璃心，需要你有个强大的自我，可以自我保护，自我强壮，不断学习，不断突破，不断创新。时间便是最好的见证者,happy
23.33834804,113.3840116,广东外语外贸大学南国商学院,01/04/2022 0:06,浅当一下美女叭,happy
23.172655,113.255682,远景路,01/04/2022 0:07,麻浦日记,neutral
23.0813727,113.4975613,南海神庙景区,01/04/2022 0:08,四月,neutral
23.076233,113.319221,海珠湖,01/04/2022 0:08,见太阳也让阳光照进来。,happy
23.168835,113.347459,高德汇购物中心,01/04/2022 0:11,王菀之《给自己的情书》，自己都不爱，怎么相爱？不知不觉自己就跟着唱了全球经典音乐的微博视频,neutral
23.208723,113.240135,石井,01/04/2022 0:14,莓你不行❌所以赶紧来喝啡吃了啦,happy
23.128225,113.289752,中山大学,01/04/2022 0:14,终于,happy
23.35928,113.220597,广东省高级技工学校广州校区,01/04/2022 0:15,鞠婧祎超话有很多话到嘴边都说不出口比如想你的话​​​鞠婧祎鞠婧祎超话鞠婧祎春日甜意单曲海报,sad
22.96264,113.3316,祈福新邨,01/04/2022 0:16,地铁坐出高铁的感觉，广州新开通的这条地铁值得你来体验广州地铁,happy
23.12005248,113.3270035,高德置地冬广场,01/04/2022 0:17,，！,angry
23.33536,113.29605,人和(地铁站),01/04/2022 0:26,人和地铁站精装大单间起,neutral
23.23935,113.86429,广东工业大学华立学院,01/04/2022 0:28,天气一天天慢慢回暖短袖和冰美式不可少,happy
23.12798,113.2365,广州市西关外国语学校,01/04/2022 0:28,期待的四月～,happy
23.45046,113.49354,广州大学华软软件学院,01/04/2022 0:29,一些杂七杂八图希望以后的日子有更多幸运更快乐,happy
23.172472,113.338489,广东省外语艺术职业学院,01/04/2022 0:29,释怀吧在这浪漫的春天,happy
23.577412,113.516365,广州华夏职业学院,01/04/2022 0:31,“带着三月的未完成，在四月奔跑起来，即使道路泥泞，也会收获遍野的烂漫”人生微语四月你好,happy
23.577412,113.516365,广州华夏职业学院,01/04/2022 0:32,广州华夏职业学院搞什么飞机啊，直视我们说话,angry
23.10724,113.25108,粤海关,01/04/2022 0:32,月份的照片,neutral
23.13272214,113.3302909,万菱汇,01/04/2022 0:37,拜託！寶寶們一定要幸福別再十年後了好嗎‍♀️,happy
23.0725478,113.4064249,长洲岛,01/04/2022 0:41,趁油价升了赶紧去练车把教练车的油箱都给掏空哈哈哈哈哈,happy
23.52789,113.60817,广州城建职业学院,01/04/2022 0:43,生活碎片校园生活,neutral
23.12562,113.26561,捷登都会,01/04/2022 0:43,云南菜和蛙美好和被晒渐变的黑手,happy
23.088774,113.396324,广州航海学院西校区,01/04/2022 0:46,浅浅拍下照片,neutral
22.98857,113.34991,自在城市花园,01/04/2022 0:46,崽崽,angry
23.101616,113.478964,广州航海学院,01/04/2022 0:54,广州航海学院超话广州航海学院超话广州航海学院清明封校喊楼，纪委，市长热线，微信直通国务院，大家一起啊​​​​,happy
23.12951,113.3476,暨南大学图书馆,01/04/2022 0:54,月的最后一天从摔坏手机开始,sad
23.101616,113.478964,广州航海学院,01/04/2022 0:54,小碗菜你不爱出了社会一笔债穿啃鸡腿,angry
23.577412,113.516365,广州华夏职业学院,01/04/2022 0:59,如果时间能倒流我绝对不会来广州华夏,sad
23.14158,113.30532,广州动物园,01/04/2022 0:59,看到,neutral
23.119617,113.27012,漫UU咖啡·简餐(粤海仰忠汇店),01/04/2022 1:05,裴珠泫超话裴珠泫,neutral
23.172472,113.338489,广东省外语艺术职业学院,01/04/2022 1:09,龚俊哈哈哈哈哈，龚俊帅而自知，我的快乐源泉娱乐女神会馆的微博视频,happy
23.21324,113.37834,广东工程职业技术学院,01/04/2022 1:09,封校状态下的大学生工程什么时候解封啊,angry
23.43299,113.17351,华南理工大学广州学院,01/04/2022 1:10,今天很开心：,happy
22.93127,113.38738,番禺基盛万科里,01/04/2022 1:10,当奥特曼打不赢小怪兽日常,neutral
23.1026,113.3796,保利・天悦,01/04/2022 1:13,失踪人口回归,neutral
23.257614,113.78033,广州华商职业学院,01/04/2022 1:21,你好春天◎春天在哪里把春天里的温柔留给意中人,happy
23.11269081,113.2669904,海珠桥,01/04/2022 1:23,骑游海珠桥,neutral
23.06922,113.23703,广钢新城,01/04/2022 1:23,每次外出的前一晚总是会醒醒睡睡从小积攒下来的坏习惯啊啊啊啊啊好怕被打,fear
23.577412,113.516365,广州华夏职业学院,01/04/2022 1:23,有在好好的生活噢,happy
23.03748,113.38292,广州美术学院,01/04/2022 1:24,劳劳劳劳逸结合,neutral
23.577412,113.516365,广州华夏职业学院,01/04/2022 1:24,一路向北，千山万水。,happy
22.999128,113.325719,广州长隆度假旅游区,01/04/2022 1:24,永远心安，永远热泪盈眶。屁屁-,happy
23.04154,113.371793,广州大学,01/04/2022 1:26,乱七八糟裂骨日常,sad
23.08004828,113.2685758,工业大道沿线,01/04/2022 1:28,已经开始期待拆开会不会是粉色了,happy
23.11902,113.35104,广电平云广场,01/04/2022 1:28,呜呜呜我真的需要这份工作吗,sad
23.130573,113.273018,德伦口腔(东风总院),01/04/2022 1:32,医学生浅体验白领生活,neutral
23.1419449,113.3199745,喜聚PTV cat walk酒店,01/04/2022 1:35,又是一年月日和也喜欢哥哥的客人一起哥哥之夜牛肉面的确也很不错,happy
23.183131,113.325691,京溪,01/04/2022 1:37,张韶涵双十一再度献唱《看得最远的地方》，依然是那个熟悉的歌声和熟悉的！让人一秒爷青回，时间仿佛在她的身上停滞，没有任何改变百听不厌音乐现场的微博视频,happy
22.98857,113.34991,自在城市花园,01/04/2022 1:39,我朋友告诉我一个减肥小技巧：早上一杯水。中午一个鸡蛋。晚上一碗稀粥。每天十公里。个跳绳。,neutral
23.11343,113.29354,惠州双月湾,01/04/2022 1:49,最近～,sad
23.03748,113.38292,广州美术学院,01/04/2022 1:50,一些生活还有当然我记得月,sad
23.186989,113.334141,南方医科大学,01/04/2022 1:56,这个点从实验室出来有点害怕呢…先被实验室屋顶上的突然窜出的老鼠吓到又被隔壁实验室的师弟吓了一跳回宿舍的路上总感觉背后有人晚安愿实验顺利身体健康,fear
23.21324,113.37834,广东工程职业技术学院,01/04/2022 1:59,《一组照片》随手拍,neutral
23.15445,113.23403,周记柳州螺蛳粉,01/04/2022 2:02,分别是海珠，番禺，白云，黄埔，增城的代表们​​​​,neutral
23.01717,113.36545,7号小镇创意园,01/04/2022 2:18,半夜做梦梦见了一个月前看到的一个印度的同行网站，梦中惊醒了，确实是喜悦。睡不着了。产品优秀但是我的市场他不做，这莫非是天赐？,surprise
23.21324,113.37834,广东工程职业技术学院,01/04/2022 2:21,好肥,happy
23.164558,113.40188,时代E-PARK,01/04/2022 2:22,愚人节快乐：您好，您所拨打的电话正在通话中,happy
23.186989,113.334141,南方医科大学,01/04/2022 2:24,金鸡奖今晚金鸡奖男女明星红毯生图来啦李易峰、金晨、吴宣仪、林一、侯明昊、关晓彤娱乐女神会馆的微博视频,happy
